sucursal,lat,lon
630 - Proxi Araoz 2148,-34.588201,-58.41914
631 - Proxi Lavalle 368,-34.601899,-58.3718205
632 - Proxi Amenabar 2702,-34.557944,-58.4628761
633 - Proxi Bolivar 270,-34.611109,-58.3733922
634 - Proxi Moreno 1401,-34.612558,-58.3865592
636 - Proxi Ayacucho 1401,-34.592224,-58.3945227
637 - Mini San Martin 2218,-34.602301,-58.5619301
638 - Proxi Av. de Mayo 432 Derqui,-34.490827,-58.8431597
639 - Proxi Pedro Goyena 188,-34.625333,-58.4293431
640 - Proxi Boulogne Sur Mer 431,-34.605153,-58.4069301
641 - Proxi Alvear 126 CBA,-31.415113,-64.1806805
642 - Proxi General Paz 240 CBA,-31.41243,-64.18553
643 - Proxi Segurola 1441,-34.622534,-58.4964788
644 - Proxi 25 de mayo 979 CBA,-31.415933,-64.1697639
645 - Proxi Drago 287,-34.601484,-58.4373629
646 - Proxi Baunes 2692,-34.572654,-58.4897786
648 - Proxi Belgrano 54 CBA,-31.415424,-64.1883087
649 - Proxi Emilio Castro 6815,-34.652115,-58.5157263
650 - Proxi San Martin 26 CBA,-31.420835,-64.4986671
652 - Proxi Las Heras 2986,-34.583427,-58.4039372
654 - Proxi Hipolito Yrigoyen 1790,-34.610319,-58.3910841
656 - Proxi Viamonte 170,-34.599428,-58.3701414
