Categoria,Identificador,Nombre,Latitud,Longitud,Domicilio,CD ORIGEN,Turnos,RUTA,FORMATO,DIAS SUGERIDO,VIAJES,TRANSPORTE
Express - AMBA,317,317 - Proxi Anchorena 1253,-34.594736,"-58,406319",ANCHORENA 1253,E.Echeverria,primera_ventana,Zona_Express_10_BSAS_Capital_Reco_Balv_SanCrist,Express,LXV,,
Express - AMBA,318,318 - Proxi Arroyo 859,-34.591464,"-58,3792985",ARROYO 859,E.Echeverria,primera_ventana,Zona_Express_08_BSAS_Capital_Montserrat_SanNicolas_Retiro,Express,MJV,,
Express - AMBA,320,320 - Proxi Sucre 2490,-34.564164,"-58,4556073",MARISCAL ANTONIO JOSE DE SUCRE 2490,Malvinas,primera_ventana,Zona_Express_11_BSAS_Capital_Norte,Express,LXV,,
Express - AMBA,322,322 - Proxi Del Carril 3210,-34.592917,"-58,5019612",Del Carril 3210,Malvinas,primera_ventana,Zona_Express_12_BSAS_Capital_Oeste,Express,LXJV,,
Express - AMBA,323,323 - Proxi Montes De Oca 304,-34.632466,"-58,376112",MONTES DE OCA 304,E.Echeverria,primera_ventana,Zona_Express_09_BSAS_Capital_Sur,Express,MXJV,,
Express - AMBA,324,324 - Proxi Directorio 1766,-34.630816,"-58,4525067",DIRECTORIO 1766,E.Echeverria,segunda_ventana,Zona_Express_09_BSAS_Capital_Sur,Express,MJV,,
Express - AMBA,325,325 - Proxi Vidal 2355,-34.561937,"-58,4622806",VIDAL 2357,Malvinas,primera_ventana,Zona_Express_11_BSAS_Capital_Norte,Express,MJS,,
Express - AMBA,326,326 - Proxi Jonte 4872,-34.620036,"-58,5063064",ALVAREZ JONTE 4872,Malvinas,primera_ventana,Zona_Express_12_BSAS_Capital_Oeste,Express,MJS,,
Express - AMBA,327,327 - Proxi Las Heras 2643,-34.58457,"-58,4003055",AV. LAS HERAS 2643,Malvinas,primera_ventana,Zona_Express_10_BSAS_Capital_Reco_Balv_SanCrist,Express,LMJV,,
Express - AMBA,328,328 - Proxi Godoy Cruz 2793,-34.577694,"-58,4243542",GODOY CRUZ 2793,Malvinas,primera_ventana,Zona_Express_14_BSAS_Capital_Palermo_Belgrano_Chacar_VUrquiz,Express,LXV,,
Express - AMBA,329,329 - Proxi Lavalle 1747,-34.603012,"-58,391701",LAVALLE 1747,E.Echeverria,primera_ventana,Zona_Express_10_BSAS_Capital_Reco_Balv_SanCrist,Express,MXJV,,
Express - AMBA,331,331 - Proxi Charcas 3171,-34.592317,"-58,4110558",CHARCAS 317173,E.Echeverria,primera_ventana,Zona_Express_10_BSAS_Capital_Reco_Balv_SanCrist,Express,LXV,,
Express - AMBA,332,332 - Proxi Billinghurst 1380,-34.593787,"-58,4131104",BILINGHURST 1380,E.Echeverria,primera_ventana,Zona_Express_10_BSAS_Capital_Reco_Balv_SanCrist,Express,MJV,,
Express - AMBA,334,334 - Proxi Paraguay 521,-34.59743,"-58,3746529",PARAGUAY 521,E.Echeverria,primera_ventana,Zona_Express_08_BSAS_Capital_Montserrat_SanNicolas_Retiro,Express,MXJV,,
Express - AMBA,335,335 - Proxi Cuba 2776,-34.55482,"-58,4599847",CUBA 2776,Malvinas,primera_ventana,Zona_Express_11_BSAS_Capital_Norte,Express,MJS,,
Express - AMBA,336,336 - Proxi Charcas 3315,-34.591601,"-58,412472",CHARCAS 3315,E.Echeverria,primera_ventana,Zona_Express_10_BSAS_Capital_Reco_Balv_SanCrist,Express,LXV,,
Express - AMBA,337,337 - Proxi Lacroze 2566,-34.57215,"-58,4460855",LACROZE 2566,Malvinas,primera_ventana,Zona_Express_14_BSAS_Capital_Palermo_Belgrano_Chacar_VUrquiz,Express,MJS,,
Express - AMBA,338,338 - Proxi Tucuman 831,-34.601212,"-58,3788773",TUCUMAN 831,E.Echeverria,primera_ventana,Zona_Express_08_BSAS_Capital_Montserrat_SanNicolas_Retiro,Express,MJV,,
Express - AMBA,339,339 - Proxi Los Incas 4466,-34.580931,"-58,4736854",LOS INCAS 4466,Malvinas,primera_ventana,Zona_Express_11_BSAS_Capital_Norte,Express,LXV,,
Express - AMBA,341,341 - Proxi Viamonte 352,-34.599532,"-58,3721799",VIAMONTE 352,E.Echeverria,primera_ventana,Zona_Express_08_BSAS_Capital_Montserrat_SanNicolas_Retiro,Express,MJV,,
Express - AMBA,343,343 - Proxi Amenabar 1187,-34.57003,"-58,4504306",AMENABAR 1187,Malvinas,primera_ventana,Zona_Express_14_BSAS_Capital_Palermo_Belgrano_Chacar_VUrquiz,Express,LXV,,
Express - AMBA,344,344 - Proxi Marcelo T. Alvear 2251,-34.596741,"-58,3996135",MARCELO T. ALVEAR 2251,E.Echeverria,primera_ventana,Zona_Express_10_BSAS_Capital_Reco_Balv_SanCrist,Express,MJV,,
Express - AMBA,346,346 - Proxi Suarez 1599,-34.638451,"-58,3729094",SUAREZ 1599,E.Echeverria,primera_ventana,Zona_Express_09_BSAS_Capital_Sur,Express,LXV,,
Express - AMBA,347,347 - Proxi Pacheco de Melo 2648,-34.586814,"-58,4015125",PACHECO DE MELO 2648,Malvinas,segunda_ventana,Zona_Express_10_BSAS_Capital_Reco_Balv_SanCrist,Express,LXV,,
Express - AMBA,348,348 - Proxi Rivadavia 3421,-34.610438,"-58,4147358",RIVADAVIA 3421,E.Echeverria,primera_ventana,Zona_Express_13_BSAS_Capital_Caballito_Flores_Almagro_Boedo,Express,MJV,,
Express - AMBA,349,349 - Proxi Av Cabildo 34,-34.574808,"-58,4366146",CABILDO 34,Malvinas,primera_ventana,Zona_Express_14_BSAS_Capital_Palermo_Belgrano_Chacar_VUrquiz,Express,MJV,,
Express - AMBA,351,351 - Proxi Echeverria 2067,-34.56108,"-58,4525335",ECHEVERRIA 2067,Malvinas,primera_ventana,Zona_Express_11_BSAS_Capital_Norte,Express,LMXJV,,
